Year,month,value,var,district
1987,2,6.7,Tmax,East_Anglia
1988,2,7.7,Tmax,East_Anglia
1989,2,9.2,Tmax,East_Anglia
1990,2,10.9,Tmax,East_Anglia
1991,2,4.4,Tmax,East_Anglia
1992,2,8.7,Tmax,East_Anglia
1993,2,6.4,Tmax,East_Anglia
1994,2,6.3,Tmax,East_Anglia
1995,2,9.5,Tmax,East_Anglia
1996,2,5.4,Tmax,East_Anglia
1997,2,9.9,Tmax,East_Anglia
1998,2,11.0,Tmax,East_Anglia
1999,2,8.0,Tmax,East_Anglia
2000,2,9.5,Tmax,East_Anglia
2001,2,8.0,Tmax,East_Anglia
2002,2,10.5,Tmax,East_Anglia
2003,2,7.4,Tmax,East_Anglia
2004,2,8.1,Tmax,East_Anglia
2005,2,6.8,Tmax,East_Anglia
2006,2,6.5,Tmax,East_Anglia
2007,2,9.2,Tmax,East_Anglia
2008,2,9.9,Tmax,East_Anglia
2009,2,7.0,Tmax,East_Anglia
2010,2,5.6,Tmax,East_Anglia
2011,2,9.1,Tmax,East_Anglia
2012,2,7.0,Tmax,East_Anglia
2013,2,5.5,Tmax,East_Anglia
2014,2,9.7,Tmax,East_Anglia
2015,2,7.3,Tmax,East_Anglia
2016,2,8.5,Tmax,East_Anglia
2017,2,9.1,Tmax,East_Anglia
2018,2,5.8,Tmax,East_Anglia
2019,2,11.5,Tmax,East_Anglia
2020,2,10.2,Tmax,East_Anglia
2021,2,8.3,Tmax,East_Anglia
2022,2,10.6,Tmax,East_Anglia
2023,2,10.3,Tmax,East_Anglia
2024,2,11.4,Tmax,East_Anglia
2025,2,7.9,Tmax,East_Anglia
2026,2,9.6,Tmax,East_Anglia
1884,3,10.6,Tmax,East_Anglia
1885,3,8.9,Tmax,East_Anglia
1886,3,7.6,Tmax,East_Anglia
1887,3,7.5,Tmax,East_Anglia
1888,3,6.2,Tmax,East_Anglia
1889,3,8.7,Tmax,East_Anglia
1890,3,10.2,Tmax,East_Anglia
1891,3,8.3,Tmax,East_Anglia
1892,3,6.3,Tmax,East_Anglia
1893,3,13.3,Tmax,East_Anglia
